preset,exchange_id,uptake_limit,origin,source_value,factor,scale
gut_overlay_agora_high_fiber.csv,EX_amp_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_arab__D_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_arab__L_m,0.004736842000000001,agora_table12,0.04736842,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_arg__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_asn__L_m,0.022500000000000003,agora_table12,0.225,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_asp__L_m,0.022500000000000003,agora_table12,0.225,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_btn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ca2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cbl1_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cd2_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_cellb_m,0.01973684,agora_table12,0.01973684,1.0,1.0
gut_overlay_agora_high_fiber.csv,EX_cgly_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_chol_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_chor_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cit_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cl_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_co2_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_cobalt2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cro4_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_csn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cu_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_cu2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_cys__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_dad_2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_dcyt_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ddca_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_dgsn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_drib_m,0.004736842000000001,agora_table12,0.04736842,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fald_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fe2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fe3_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fe3dcit_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fol_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_for_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fru_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fuc__L_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_fum_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_gal_m,0.003947368,agora_table12,0.03947368,0.1,1.0
